EBio_CE_2015;v1.0.1;2025-07-07;Temps d'execution :;1.19secs
CODE_STATION;TYPO_NATIONALE;PERIODE_DEBUT;PERIODE_FIN;CODE_PAR;LIB_PAR;RESULTAT;EQR;CLASSE;CLASSE_NUM;COMMENTAIRES
01000602;P9-A;2015;2015;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2015;2015;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2015;2015;5910;MPCE phases A+B;12;0.785714285714286;BON;2;
01000602;P9-A;2015;2015;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2015;2015;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2015;2015;8353;Etat Biologique;NA;NA;BON;2;
01000602;P9-A;2016;2016;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2016;2016;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2016;2016;5910;MPCE phases A+B;14;0.928571428571429;TRES_BON;1;
01000602;P9-A;2016;2016;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2016;2016;7036;Indice Poisson Riviere;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2016;2016;8353;Etat Biologique;NA;NA;TRES_BON;1;
01000602;P9-A;2017;2017;5856;IndiceBioDiat;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2017;2017;2928;IBMR;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
01000602;P9-A;2017;2017;5910;MPCE phases A+B;12;0.785714285714286;BON;2;
01000602;P9-A;2017;2017;6951;MGCE 12 prelevements;NA;NA;NA;NA;Aucunes donnees disponibles sur la periode d'evaluation definie
